Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;"Output as radio";Вес;Высота;Диаметр;Ткань;Предназначение;Наполнитель;"Количество наполнителя";"Объемный вес для транспортных компаний";"Производство ";Серия;Диагональ;"Тип экрана";"Разрешение экрана";Система;"Количество ядер";Процессор;"Частота процессора";"Оперативная память";"Встроенная память";"Поддержка SD карт";Sim-карт;"Размеры SIM";"GSM (2G)";3G;"LTE (4G)";WCDMA;"Основная камера";"Фронтальная камера";Вспышка;Bluetooth;GPS;A-GPS;Wi-Fi;"ИК порт";Разъемы;Аккумулятор;Размеры;Цвет;"Wi-Fi Hotspot";"Сканер отпечатков пальцев";"3G (UMTS)";Возраст;Пол;Комплектация;Материал;"Размеры упаковки";"Размер игрушки";"Страна производитель";"Тепловая мощность";"Максимальная температура теплоносителя";"Максимальное рабочее давление";"Конструкция радиатора";"Способ подключения";"Кол-во секций в радиаторе";"Объем воды в радиаторе";"Опрессовочное давление";"Способ установки";"Номинальный объем водонагревателя";"Положение установки";Форма;"Мощность ТЭНа";Гарантия;"Тип нагревательного элемента (ТЭНа)";Мощность;"Отвод газов";"Тип розжига";Производительность;"Производительность ГВС";"Модуляция мощности";"Вес (кг)";"Объем (м3)";"Габариты В.Ш.Г. (мм.)";"Мин. давление газа"
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 080 D400-2-B O'Pro Turbo";;080-D400-2-B;2836.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 080 D400-2-B O'Pro Turbo";"Бойлер Atlantic VM 080 D400-2-B O'Pro Turbo";"Бойлер Atlantic VM 080 D400-2-B O'Pro Turbo";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-vm-080-d400-2-bc_1.jpg, opro-turbo-1_1.jpg, opro-turbo_2.jpg";vodonagrevatel-atlantic-vm-080-d400-2-b-opro-turbo;0;22кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;80л.;Вертикальный;Цилиндрическая;2.5кВт.;"5 лет";"открытый (""мокрый"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 30 S3С CUBE STEATITE";;;3949.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 30 S3С CUBE STEATITE";"Бойлер Atlantic VM 30 S3С CUBE STEATITE";"Бойлер Atlantic VM 30 S3С CUBE STEATITE";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-statite-cube.jpg, atlantic-statite-cube1.jpg";vodonagrevatel-atlantic-vm-30-s3s-cube-steatite;0;"13 кг.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;30л.;Вертикальный;прямоугольная;1.5кВт.;"7 лет";"скрытый (""сухой"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 75 S4 СМ CUBE STEATITE";;;5505.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 75 S4 СМ CUBE STEATITE";"Бойлер Atlantic VM 75 S4 СМ CUBE STEATITE";"Бойлер Atlantic VM 75 S4 СМ CUBE STEATITE";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-statite-cube_1.jpg, atlantic-statite-cube1_1.jpg";vodonagrevatel-atlantic-vm-75-s4-sm-cube-steatite;0;27кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;75л.;Универсальный;прямоугольная;2.4кВт.;"7 года";"скрытый (""сухой"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 100 S4 СМ CUBE STEATITE";;;6109.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 100 S4 СМ CUBE STEATITE";"Бойлер Atlantic VM 100 S4 СМ CUBE STEATITE";"Бойлер Atlantic VM 100 S4 СМ CUBE STEATITE";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-statite-cube_2.jpg, atlantic-statite-cube1_2.jpg";vodonagrevatel-atlantic-vm-100-s4-sm-cube-steatite;0;30кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;100л.;Универсальный;прямоугольная;2.4кВт.;"7 года";"скрытый (""сухой"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер ATLANTIC STEATITE SLIM VM 080 D325-2-BC";;;4301.00;;4;0.00;;;1;0;"Бойлер ATLANTIC STEATITE SLIM VM 080 D325-2-BC";"Бойлер ATLANTIC STEATITE SLIM VM 080 D325-2-BC";"Бойлер ATLANTIC STEATITE SLIM VM 080 D325-2-BC";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-slim-steatite-vm-80-n3cm-e-1_1.jpg, atlantic-slim-steatite-80_1.jpg";bojler-atlantic-steatite-slim-vm-080-d325-2-bc;0;26кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;80л.;Вертикальный;Цилиндрическая;2.1кВт.;"7 лет";"скрытый (""сухой"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic Steatite PRO VM 050 D400-2-BC";;;3832.00;;4;0.00;;;1;0;"Бойлер Atlantic Steatite PRO VM 050 D400-2-BC";"Бойлер Atlantic Steatite PRO VM 050 D400-2-BC";"Бойлер Atlantic Steatite PRO VM 050 D400-2-BC";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"Atlantic_VM_050_D400-2-BC.jpg, atlantic-statite-elite-pro3.jpg, atlantic-statite-elite-pro.jpg";vodonagrevatel-atlantic-vm-050-d400-2-bc-steatite-pro;0;17кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;50л.;Вертикальный;Цилиндрическая;1.5кВт.;"8 лет";"скрытый (""сухой"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic PC 30 O'Pro Slim";;;3177.00;;4;0.00;;;1;0;"Бойлер Atlantic PC 30 O'Pro Slim";"Бойлер Atlantic PC 30 O'Pro Slim";"Бойлер Atlantic PC 30 O'Pro Slim";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-opro-slim.jpg, atlantic-opro-slim-2.jpg";vodonagrevatel-atlantic-pc-30-opro-slim;0;12кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;30л.;Вертикальный;Цилиндрическая;2кВт.;"5 лет";"открытый (""мокрый"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 050 D400-1-M O'Pro Profi";;;2231.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 050 D400-1-M O'Pro Profi";"Бойлер Atlantic VM 050 D400-1-M O'Pro Profi";"Бойлер Atlantic VM 050 D400-1-M O'Pro Profi";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";atlantic-opro-profi.jpg;vodonagrevatel-atlantic-vm-050-d400-1-m-opro-profi;0;17кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;50л.;Вертикальный;Цилиндрическая;1.5кВт.;"3 года";"открытый (""мокрый"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 100 D400-1-M O'Pro Profi";;;2754.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 100 D400-1-M O'Pro Profi";"Бойлер Atlantic VM 100 D400-1-M O'Pro Profi";"Бойлер Atlantic VM 100 D400-1-M O'Pro Profi";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";atlantic-opro-profi_2.jpg;vodonagrevatel-atlantic-vm-100-d400-1-m-opro-profi;0;26кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;100л.;Вертикальный;Цилиндрическая;1.5кВт.;"3 года";"открытый (""мокрый"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 050 D400-2-B O'Pro Turbo";;;2601.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 050 D400-2-B O'Pro Turbo";"Бойлер Atlantic VM 050 D400-2-B O'Pro Turbo";"Бойлер Atlantic VM 050 D400-2-B O'Pro Turbo";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"Atlantic_VM_050_D400-2-B2.jpg, opro-turbo_1.jpg";vodonagrevatel-atlantic-vm-050-d400-2-b-opro-turbo;0;17кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;50л.;Вертикальный;Цилиндрическая;2.5кВт.;"5 лет";"открытый (""мокрый"")";;;;;;;;;;
"Техника для дома/Водонагреватели/Бойлеры";Atlantic;"Бойлер Atlantic VM 100 D400-2-B O'Pro Turbo";;;3168.00;;4;0.00;;;1;0;"Бойлер Atlantic VM 100 D400-2-B O'Pro Turbo";"Бойлер Atlantic VM 100 D400-2-B O'Pro Turbo";"Бойлер Atlantic VM 100 D400-2-B O'Pro Turbo";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";"atlantic-vm-080-d400-2-bc.jpg, opro-turbo-1.jpg, opro-turbo.jpg";vodonagrevatel-atlantic-vm-100-d400-2-b-opro-turbo;0;26кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Украина;;;;;;;;;Настенный;100л.;Вертикальный;Цилиндрическая;2.5кВт.;"5 лет";"открытый (""мокрый"")";;;;;;;;;;
"Техника для дома/Радиаторы отопления";Global;"Алюминиевый радиатор Global VOX 500/100";;vox500/100;235.04;;1;0.00;;;1;1;"Алюминиевый радиатор Global VOX 500/100";"Алюминиевый радиатор Global VOX 500/100";"Алюминиевый радиатор Global VOX 500/100";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";1362382587_aluminium-radiator-global.jpg;alyuminievyj-radiator-global-vox-500100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Италия;195Вт.;110град.;"16 бар";Секционная;Боковое;10;0.5л.;"2.4 бар";;;;;;;;;;;;;;;;;
"Техника для дома/Радиаторы отопления";Global;"Алюминиевый радиатор Global VOX 350/100";;vox350/100;235.03;;1;0.00;;;1;0;"Алюминиевый радиатор Global VOX 350/100";"Алюминиевый радиатор Global VOX 350/100";"Алюминиевый радиатор Global VOX 350/100";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";1362382587_aluminium-radiator-global.jpg;alyuminievyj-radiator-global-vox-350100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Италия;145Вт.;110град.;"16 бар";Секционная;Боковое;10;0.35л.;"2.4 бар";;;;;;;;;;;;;;;;;
"Техника для дома/Радиаторы отопления";Global;"Алюминиевый радиатор Global ISEO 500/80";;iseo500/80;235.02;;1;0.00;;;1;0;"Алюминиевый радиатор Global ISEO 500/80";"Алюминиевый радиатор Global ISEO 500/80";"Алюминиевый радиатор Global ISEO 500/80";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";iseo.jpg;alyuminievyj-radiator-global-iseo-50080;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Италия;181Вт.;110град.;"16 бар";Секционная;Боковое;10;0.5л.;"2.4 бар";;;;;;;;;;;;;;;;;
